,Year,STATECOUNTY,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATE,COUNTY,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_MED_INCOME_PAST_12MO,ACS_MED_INCOME
95,2018,17_89,530839,264211,266628,510659,381621,28620,2414,21025,180,76799,13527,165615,301556,517985,51398,36401,430186,481085,141510,275064,64511,41804,439281,17,89,37.39512195121953,36.62073170731707,38.345121951219525,34462.743902439026,34462.743902439026
96,2018,17_9,6675,4238,2437,6512,5071,1364,6,37,0,34,66,286,4836,4707,465,418,3824,4521,1028,2649,844,614,3907,17,9,41.3,41.35,42.0,28465.0,28465.0
97,2018,17_91,111061,54615,56446,107763,87624,16523,215,1043,22,2336,2080,11146,79356,105301,15607,8858,80836,102509,26942,59042,16525,14540,87969,17,91,38.17586206896552,36.7551724137931,39.813793103448276,27139.689655172413,27139.689655172413
98,2018,17_93,124626,61761,62865,119655,101216,8757,160,4143,0,5379,3352,22183,86516,122390,6489,4436,111465,118797,37396,69703,11698,9364,109433,17,93,35.93,34.19,37.58,37182.3,37182.3
99,2018,17_95,50999,25743,25256,49577,43428,4512,162,494,0,981,930,2852,41938,46358,8417,5306,32635,45551,10378,25464,9709,7485,38066,17,95,41.34374999999999,40.043749999999996,44.18125000000001,25542.875,25542.875
100,2018,17_97,703619,351343,352276,677324,538134,46821,1746,52532,367,37724,18432,147626,434177,678276,55492,44895,577889,639566,179273,370826,89467,58023,581543,17,97,39.4986842105263,38.50328947368422,40.37880794701985,42073.35526315789,42073.35526315789
101,2018,17_99,110401,55400,55001,107630,101966,2787,208,836,21,1812,1648,10342,93873,105872,14232,8532,83108,101963,24640,58557,18766,13883,88080,17,99,41.93928571428571,40.97499999999999,43.121428571428574,28055.39285714286,28055.39285714286
102,2018,29_1,25325,12215,13110,24581,22917,870,52,608,63,71,535,311,22697,22380,5922,2089,14369,22903,5048,14416,3439,2859,20044,29,1,31.91428571428571,31.428571428571427,31.77142857142857,19158.0,19158.0
103,2018,29_101,53689,27715,25974,51124,47164,2289,281,936,168,286,1769,2244,45485,48178,7372,4253,36553,45418,11882,27641,5895,5441,39977,29,101,32.77777777777778,32.166666666666664,34.400000000000006,24593.555555555555,24593.555555555555
104,2018,29_103,3951,1989,1962,3841,3764,21,0,18,18,20,62,40,3758,3821,724,306,2791,3221,816,1624,781,737,2484,29,103,44.2,41.95,45.75,21040.5,21040.5
105,2018,29_105,35507,17578,17929,33936,33247,196,273,117,6,97,991,801,32650,34429,5046,5098,24285,30970,8587,16433,5950,5594,25376,29,105,40.4,38.61666666666667,41.666666666666664,23539.666666666668,23539.666666666668
106,2018,29_107,32589,16106,16483,31439,30299,634,43,185,75,203,781,895,29677,31570,4069,3002,24499,29431,7540,16267,5624,4443,24988,29,107,42.357142857142854,41.214285714285715,43.885714285714286,29112.0,29112.0
107,2018,29_109,38133,18995,19138,36801,35897,240,194,82,0,388,791,2680,33672,36859,6077,4982,25800,32458,9041,17131,6286,6374,26084,29,109,40.357142857142854,39.91428571428571,40.5,24517.428571428572,24517.428571428572
108,2018,29_11,11850,5865,5985,11329,11033,35,222,0,6,33,384,294,10850,11567,2483,1236,7848,10589,2892,5431,2266,1916,8673,29,11,42.56666666666666,40.46666666666666,44.833333333333336,24841.666666666668,24841.666666666668
109,2018,29_111,10027,5100,4927,9776,9360,326,77,2,11,0,141,177,9194,9166,1407,929,6830,8843,2154,5019,1670,1267,7576,29,111,40.95,38.85,42.699999999999996,24921.25,24921.25
110,2018,29_113,55563,27526,28037,53902,52052,1037,153,214,15,431,1030,1330,51162,54059,6861,5180,42018,50380,14153,29389,6838,7436,42944,29,113,38.07142857142857,37.57142857142857,39.0,29214.85714285714,29214.85714285714
111,2018,29_115,12186,5861,6325,11844,11675,70,19,36,5,39,234,270,11467,11944,1789,1197,8958,10683,2638,5619,2426,1652,9031,29,115,42.76,41.8,43.7,26506.0,26506.0
112,2018,29_117,15076,6813,8263,14554,13903,409,81,80,22,59,257,263,13731,13544,2183,1372,9989,12217,3182,6272,2763,1875,10342,29,117,40.22,40.400000000000006,40.58,26046.6,26046.6
113,2018,29_119,22827,11635,11192,21869,19655,414,698,328,421,353,597,2552,17559,22211,4229,3618,14364,18312,5439,9613,3260,3249,15063,29,119,38.2,36.675,40.2,23928.25,23928.25
114,2018,29_121,15254,7683,7571,14765,14285,284,79,80,3,34,330,210,14188,14829,2193,1660,10976,13285,3337,6857,3091,2431,10854,29,121,41.9,39.98,43.660000000000004,23196.4,23196.4
115,2018,29_123,12205,6049,6156,11930,11743,123,34,30,0,0,158,291,11452,11802,1853,1462,8487,10886,2692,5992,2202,2702,8184,29,123,42.96666666666667,42.1,43.96666666666667,22567.666666666668,22567.666666666668
116,2018,29_125,8884,4449,4435,8793,8677,21,73,22,0,0,36,233,8444,8753,1412,811,6530,7677,1858,4028,1791,1560,6117,29,125,45.26666666666667,43.699999999999996,46.699999999999996,25118.666666666668,25118.666666666668
117,2018,29_127,28672,13745,14927,27542,26004,1123,91,201,54,69,777,495,25575,26827,4911,2884,19032,25263,7101,13582,4580,3603,21660,29,127,39.125,38.324999999999996,39.9875,24466.25,24466.25
118,2018,29_129,3664,1834,1830,3579,3527,14,0,19,4,15,57,68,3476,3575,389,360,2826,2986,791,1483,712,485,2501,29,129,44.5,43.25,45.349999999999994,25048.5,25048.5
