,Unnamed: 0,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATECOUNTY,N_BLACK,PCT_BLACK,N_NOT_WHITE,PCT_NOT_WHITE,N_UNINSURED,PCT_UNINSURED,N_POVERTY_STAT,PCT_POVERTY_STAT,N_DISABIL_STAT,PCT_DISABIL_STAT,COUNTY_NAME,bucket,bucket_idx,midpoint
3594,3594,2018,"Census Tract 1275, St. Louis city, Missouri",127500,29,510,1400000US29510127500,2113,1046,1067,39.6,33.6,42.5,2079,526,1520,0,0,0,33,34,99,438,26951,26951,2110,485,410,1215,1816,235,1293,288,283,1533,29510,1520,0.731120731,1553,0.746993747,297,0.140558448,485,0.22985782,283,0.155837004,St. Louis City,"(25000, 32000]",13,28500
3874,3874,2018,"Census Tract 2123, St. Louis County, Missouri",212300,29,189,1400000US29189212300,5247,2480,2767,43.2,42.8,43.6,5034,966,4002,0,24,0,42,154,55,966,26770,26770,5152,974,460,3718,4638,862,2759,1017,657,3981,29189,4002,0.794994041,4068,0.808104887,609,0.116066324,974,0.189052795,657,0.141655886,St. Louis County,"(25000, 32000]",38,28500
3867,3867,2018,"Census Tract 2206.02, St. Louis County, Missouri",220602,29,189,1400000US29189220602,5599,2416,3183,50.3,50,50.4,5522,5272,45,0,205,0,0,38,82,5190,26279,26279,5560,573,367,4620,5440,892,3101,1447,928,4512,29189,45,0.008149221,250,0.045273452,159,0.028397928,573,0.103057554,928,0.170588235,St. Louis County,"(25000, 32000]",35,28500
3747,3747,2018,"Census Tract 2144, St. Louis County, Missouri",214400,29,189,1400000US29189214400,4772,2381,2391,37.4,33.7,41.2,4598,3158,1191,9,83,0,157,152,480,2800,25966,25966,4660,674,470,3516,3889,810,2654,425,613,3276,29189,1191,0.259025663,1440,0.313179643,883,0.18503772,674,0.144635193,613,0.157624068,St. Louis County,"(25000, 32000]",29,28500
3806,3806,2018,"Census Tract 2146.01, St. Louis County, Missouri",214601,29,189,1400000US29189214601,3438,1640,1798,35,33.7,35.6,3225,1882,1085,20,118,0,120,142,113,1874,25901,25901,3339,433,323,2583,3147,816,1874,457,520,2627,29189,1085,0.336434109,1343,0.416434109,291,0.084642234,433,0.129679545,520,0.165236733,St. Louis County,"(25000, 32000]",31,28500
4339,4339,2018,"Census Tract 2104, St. Louis County, Missouri",210400,29,189,1400000US29189210400,4022,1783,2239,43.8,42.2,47.3,3956,316,3636,0,0,4,0,66,21,303,25832,25832,3946,580,457,2909,3648,762,2070,816,691,2957,29189,3636,0.919110212,3640,0.920121335,374,0.092988563,580,0.146984288,691,0.18941886,St. Louis County,"(25000, 32000]",62,28500
3993,3993,2018,"Census Tract 2145, St. Louis County, Missouri",214500,29,189,1400000US29189214500,3461,1583,1878,38.3,39.6,33.9,3247,1945,723,48,165,0,366,96,536,1736,25818,25818,3319,457,362,2500,2684,720,1518,446,391,2293,29189,723,0.222667077,1302,0.400985525,777,0.224501589,457,0.137692076,391,0.145678092,St. Louis County,"(25000, 32000]",42,28500
3637,3637,2018,"Census Tract 2135, St. Louis County, Missouri",213500,29,189,1400000US29189213500,5276,2706,2570,32.1,29.3,41,5059,3347,1562,0,117,0,33,125,235,3160,25805,25805,5099,510,636,3953,4630,1391,2678,561,952,3678,29189,1562,0.308756671,1712,0.3384068,646,0.122441243,510,0.100019612,952,0.205615551,St. Louis County,"(25000, 32000]",14,28500
4120,4120,2018,"Census Tract 2107.03, St. Louis County, Missouri",210703,29,189,1400000US29189210703,3621,1652,1969,39.7,28.9,42.3,3479,825,2632,0,0,0,22,109,132,693,25774,25774,3579,502,392,2685,3298,906,1897,495,684,2614,29189,2632,0.756539235,2654,0.762862892,323,0.089201878,502,0.140262643,684,0.207398423,St. Louis County,"(25000, 32000]",47,28500
4121,4121,2018,"Census Tract 2107.04, St. Louis County, Missouri",210704,29,189,1400000US29189210704,3904,2028,1876,25,21.8,28.6,3661,264,3352,6,0,17,22,170,71,193,25591,25591,3808,695,640,2473,3449,1347,1758,344,436,3013,29189,3352,0.915596831,3397,0.927888555,455,0.116547131,695,0.182510504,436,0.126413453,St. Louis County,"(25000, 32000]",48,28500
