,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N
2305,2018,"Census Tract 2309, Cook County, Illinois",230900,17,31,1400000US17031230900,4965,2392,2573,31.8,31.4,32.2,4700,2094,866,11,108,0,1621,177,2806,955,26304.0,26304.0,4849,1624,361,2864,4333,1281,2639,413,567,3766
2306,2018,"Census Tract 2311, Cook County, Illinois",231100,17,31,1400000US17031231100,1292,591,701,31.9,27.9,33.9,1251,222,723,0,0,0,306,16,495,39,18314.0,18314.0,1254,376,133,745,1125,359,631,135,153,972
2307,2018,"Census Tract 2406, Cook County, Illinois",240600,17,31,1400000US17031240600,1506,771,735,30.8,30.0,31.1,1423,1246,120,0,19,0,38,42,436,890,55667.0,55667.0,1465,103,50,1312,1428,313,1037,78,6,1422
2308,2018,"Census Tract 2434, Cook County, Illinois",243400,17,31,1400000US17031243400,2742,1389,1353,32.8,33.3,32.3,2483,1879,185,0,145,0,274,193,937,1325,57098.0,57098.0,2676,397,76,2203,2611,425,1939,247,122,2489
2309,2018,"Census Tract 2502, Cook County, Illinois",250200,17,31,1400000US17031250200,2730,1288,1442,32.6,28.2,35.2,2702,535,1424,0,25,0,718,19,1213,40,23929.0,23929.0,2712,421,326,1965,2235,670,1320,245,310,1925
2310,2018,"Census Tract 2507, Cook County, Illinois",250700,17,31,1400000US17031250700,5396,2468,2928,38.4,36.9,42.6,5223,257,4411,0,0,0,555,32,803,0,22385.0,22385.0,5255,907,798,3550,4572,901,2913,758,1116,3456
2311,2018,"Census Tract 2513, Cook County, Illinois",251300,17,31,1400000US17031251300,3934,1788,2146,41.5,41.3,41.7,3887,369,3126,0,0,0,392,7,652,140,17331.0,17331.0,3894,908,693,2293,3332,719,1871,742,735,2597
2312,2018,"Census Tract 2827, Cook County, Illinois",282700,17,31,1400000US17031282700,2172,1078,1094,34.3,36.6,30.4,2071,672,971,0,261,0,167,64,499,374,40070.0,40070.0,2135,483,166,1486,2032,463,1379,190,189,1843
2313,2018,"Census Tract 314, Cook County, Illinois",31400,17,31,1400000US17031031400,4853,2291,2562,37.8,39.4,37.3,4515,3333,496,6,630,0,50,215,272,3159,54190.0,54190.0,4537,492,153,3892,4449,230,3346,873,524,3925
2314,2018,"Census Tract 8636.01, Lake County, Illinois",863601,17,97,1400000US17097863601,3637,1722,1915,45.3,47.5,41.9,3575,3078,100,0,397,0,0,43,36,3042,56458.0,56458.0,3562,12,28,3522,3551,933,2158,460,153,3398
2315,2018,"Census Tract 8642.06, Lake County, Illinois",864206,17,97,1400000US17097864206,3773,1844,1929,40.2,39.5,40.4,3750,3292,21,0,102,0,335,0,1220,2407,31042.0,31042.0,3742,424,608,2710,3193,810,1901,482,483,2710
2316,2018,"Census Tract 8646.02, Lake County, Illinois",864602,17,97,1400000US17097864602,3849,1873,1976,48.6,49.5,47.9,3785,3409,85,0,291,0,0,64,70,3339,72457.0,72457.0,3849,18,54,3777,3821,1035,2056,730,294,3527
2317,2018,"Census Tract 8644.08, Lake County, Illinois",864408,17,97,1400000US17097864408,6023,2999,3024,39.5,36.7,41.9,5907,4853,268,0,350,21,415,85,1257,4261,35755.0,35755.0,5973,294,606,5073,5434,1285,3626,523,419,5015
2318,2018,"Census Tract 8644.12, Lake County, Illinois",864412,17,97,1400000US17097864412,4189,2063,2126,43.1,44.1,42.2,4111,3716,46,0,349,0,0,52,98,3656,46680.0,46680.0,4155,165,127,3863,3980,1094,2365,521,274,3706
2319,2018,"Census Tract 8620, Lake County, Illinois",862000,17,97,1400000US17097862000,5540,2744,2796,30.8,30.2,31.6,5190,2776,668,0,168,0,1578,297,3958,657,24347.0,24347.0,5487,973,807,3707,4485,1644,2437,404,404,4081
2320,2018,"Census Tract 8642.05, Lake County, Illinois",864205,17,97,1400000US17097864205,10949,5395,5554,36.2,35.4,38.2,10501,9203,213,0,664,0,421,311,1560,8271,44708.0,44708.0,10812,379,444,9989,10522,3111,6002,1409,757,9765
2321,2018,"Census Tract 8601.03, Lake County, Illinois",860103,17,97,1400000US17097860103,3386,1575,1811,49.6,52.7,45.5,3315,3130,3,0,37,0,145,8,405,2870,44025.0,44025.0,3323,72,41,3210,3061,680,1827,554,390,2671
2322,2018,"Census Tract 8611.05, Lake County, Illinois",861105,17,97,1400000US17097861105,4365,2299,2066,34.9,35.3,34.2,4230,3629,236,0,219,0,146,116,356,3372,42455.0,42455.0,4247,214,241,3792,4073,954,2812,307,412,3661
2323,2018,"Census Tract 8618.04, Lake County, Illinois",861804,17,97,1400000US17097861804,3680,1788,1892,25.9,23.8,26.4,3454,2113,518,23,176,0,624,88,2433,341,21250.0,21250.0,3525,848,916,1761,2990,1257,1438,295,253,2737
2324,2018,"Census Tract 8634, Lake County, Illinois",863400,17,97,1400000US17097863400,4398,2222,2176,30.4,28.0,34.8,4273,3938,113,5,140,0,77,104,270,3751,38397.0,38397.0,3467,153,21,3293,4165,1147,2344,674,257,3908
2325,2018,"Census Tract 8644.07, Lake County, Illinois",864407,17,97,1400000US17097864407,5717,2742,2975,45.0,44.6,45.4,5555,4985,16,0,490,6,58,103,81,4912,64261.0,64261.0,5536,55,36,5445,5568,1442,3433,693,297,5271
2326,2018,"Census Tract 8612.01, Lake County, Illinois",861201,17,97,1400000US17097861201,6556,3415,3141,34.5,34.2,35.0,6256,5393,374,26,38,0,425,201,3426,2604,25264.0,25264.0,6252,596,718,4938,5477,1853,2953,671,558,4919
2327,2018,"Census Tract 8642.03, Lake County, Illinois",864203,17,97,1400000US17097864203,4341,2184,2157,40.1,42.4,38.0,4227,4103,30,0,23,0,71,67,446,3795,41644.0,41644.0,4238,184,171,3883,4124,1114,2526,484,334,3790
2328,2018,"Census Tract 8622, Lake County, Illinois",862200,17,97,1400000US17097862200,4074,2581,1493,30.9,30.8,31.1,3613,1635,1358,46,75,0,499,399,1235,1042,21858.0,21858.0,3176,834,208,2134,2867,869,1745,253,230,2637
2329,2018,"Census Tract 8639.02, Lake County, Illinois",863902,17,97,1400000US17097863902,5865,2720,3145,41.2,36.7,43.8,5470,4170,186,7,1107,0,0,305,301,3915,42354.0,42354.0,5775,610,566,4599,5527,1157,3242,1128,526,5001
2330,2018,"Census Tract 8648.02, Lake County, Illinois",864802,17,97,1400000US17097864802,2868,1471,1397,44.2,39.0,45.4,2854,2516,35,0,262,0,41,5,109,2448,61694.0,61694.0,2859,66,35,2758,2828,781,1553,494,188,2640
2331,2018,"Census Tract 8604, Lake County, Illinois",860400,17,97,1400000US17097860400,5772,2902,2870,33.5,32.5,34.0,5445,3890,674,0,136,0,745,167,1828,2851,39103.0,39103.0,5612,510,411,4691,5350,1489,3321,540,633,4717
